Manufacturer,Model,Mode,Laser Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD)
EnvisionTEC,Perfactory 3 DSP,N/A,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,5.5,4.1,9.06,"$50,000 - $99,999"
EnvisionTEC,Perfactory 4 DDP4,ERM,,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer",Gypsum,4.5,2.8,9.06,"$50,000 - $99,999"
EnvisionTEC,Perfactory 4 DDP4 M,ERM,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer",Gypsum,6.3,3.9,9.06,"$50,000 - $99,999"
EnvisionTEC,Perfactory 4 DDP4 XL,ERM,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer",Gypsum,7.6,4.7,9.06,"$50,000 - $99,999"
EnvisionTEC,Perfactory 4 DSP,ERM,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,6.3,3.9,9.06,"$50,000 - $99,999"
EnvisionTEC,Perfactory 4 DSP,N/A,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,6.3,3.9,9.06,"$50,000 - $99,999"
EnvisionTEC,Perfactory 4 DSP XL,ERM,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,7.6,4.7,9.06,"$100,000 - $249,999"
EnvisionTEC,Perfactory 4 DSP XL,N/A,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,7.6,4.7,9.06,"$100,000 - $249,999"
EnvisionTEC,Perfactory 4 Mini,"ERM, Lens f = 2.36"" (60mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS, Wax",2.5,1.6,9.06,"$50,000 - $99,999"
EnvisionTEC,Perfactory 4 Mini,"ERM, Lens f = 2.95"" (75mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS, Wax",1.5,0.9,9.06,"$50,000 - $99,999"
EnvisionTEC,Perfactory 4 Mini XL,"ERM, Lens f = 2.36"" (60mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS, Wax",4.5,2.8,9.06,"$50,000 - $99,999"
EnvisionTEC,Perfactory 4 Mini XL,"ERM, Lens f = 2.95"" (75mm)",,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS, Wax",3.3,2.1,9.06,"$50,000 - $99,999"
EnvisionTEC,Perfactory 4 Standard,ERM,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS, PP, Wax",6.3,3.9,9.06,"$50,000 - $99,999"
EnvisionTEC,Perfactory 4 Standard,N/A,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS, PP, Wax",6.3,3.9,9.06,"$50,000 - $99,999"
EnvisionTEC,Perfactory 4 Standard XL,ERM,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS, Wax",7.6,4.7,9.06,"$50,000 - $99,999"
EnvisionTEC,Perfactory 4 Standard XL,N/A,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax","ABS, Wax",7.6,4.7,9.06,"$50,000 - $99,999"
