Manufacturer,Model,Mode,Laser Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD)
SLM Solutions,SLM 125 HL,N/A,200,Powder Bed Fusion (e.g. SLS),Metal,,4.92,4.92,2.95,"$100,000 - $249,999"
SLM Solutions,SLM 280 HL,N/A,400,Powder Bed Fusion (e.g. SLS),Metal,,11.02,11.02,13.78,"$250,000 - $499,999"
SLM Solutions,SLM 280 HL,N/A,1000,Powder Bed Fusion (e.g. SLS),Metal,,11.02,11.02,13.78,"$250,000 - $499,999"
SLM Solutions,SLM 500 HL,N/A,400,Powder Bed Fusion (e.g. SLS),Metal,,19.69,11.02,12.8,"$500,000 - $999,999"
SLM Solutions,SLM 500 HL,N/A,1000,Powder Bed Fusion (e.g. SLS),Metal,,19.69,11.02,12.8,"$500,000 - $999,999"
Solidscape (A Stratasys Company),3Z Lab,,,Material Jetting,Wax,Wax,6,6,2,"Less than $49,999"
Solidscape (A Stratasys Company),3Z Pro,,,Material Jetting,Wax,Wax,6,6,4,"Less than $49,999"
Solidscape (A Stratasys Company),3Z Studio,,,Material Jetting,Wax,Wax,6,6,2,"Less than $49,999"
Solidscape (A Stratasys Company),Max2,,,Material Jetting,Wax,Wax,6,6,4,"Less than $49,999"
Stratasys,CrownWorx,N/A,,Material Extrusion (e.g. FDM),Wax,Wax,6,6,2,"Less than $49,999"
Stratasys,Dimension 1200es,BST (Breakaway Support Technology),,Material Extrusion (e.g. FDM),Polymer,ABS,10,10,12,"Less than $49,999"
Stratasys,Dimension 1200es,SST (Soluble Support Technology),,Material Extrusion (e.g. FDM),Polymer,ABS,10,10,12,"Less than $49,999"
