Material Supplier,Material Name,General Material Type,Specific Material Type,Post Processed,Ultimate Tensile Strength Min (MPa),Ultimate Tensile Strength Max (MPa),Tensile Modulus Min (MPa),Tensile Modulus Max (MPa),Elongation at Break Min (%),Elongation at Break Max (%),Flexural Strength Min (MPa),Flexural Strength Max (MPa),Flexural Modulus Min (MPa),Flexural Modulus Max (MPa),Hardness Shore Scale,Hardness Min,Hardness Max,HDT Min (C),HDT Max (C),Glass Transition Temp Min (C),Glass Transition Temp Max (C),Part Density (g/cm3),Flammability,USP Class VI Certified
ExOne,Alloy IN 625,Metal,Nickel,Yes,717,717,214,221,34,57,,,,,,,,,,,,8.49,,No
ExOne,FS 001 ExOne silica sand,Sand,Silicate,No,,,,,,,,,,,,,,,,,,,,No
ExOne,FS 003 ExOne silica sand for higher core permeability,Sand,Silicate,No,,,,,,,,,,,,,,,,,,,,No
ExOne,FS 005 ExOne silica sand,Sand,Silicate,No,,,,,,,,,,,,,,,,,,,,No
ExOne,FS 052 ExOne synthetic sand,Sand,Silicate,No,,,,,,,,,,,,,,,,,,,,No
ExOne,Iron Infiltrated with Bronze,Metal,Iron,No,407,407,131000,131000,17,17,,,,,,,,,,,,8.04,,No
Fabrisonic,Aluminum 1100-H18,Metal,Aluminum,No,150,165,68900,68900,1,4,,,,,,,,,,,,2.71,,No
Fabrisonic,Aluminum 2219-O,Metal,Aluminum,No,172,220,73100,73100,12,18,,,,,,,,,,,,2.84,,No
Fabrisonic,Aluminum 3003-H18,Metal,Aluminum,No,185,200,68900,68900,4,10,,,,,,,,,,,,2.73,,No
Fabrisonic,Aluminum 5052-O,Metal,Aluminum,No,193,193,70300,70300,25,30,,,,,,,,,,,,2.68,,No
Fabrisonic,Aluminum 6061-O,Metal,Aluminum,No,124,124,68900,68900,25,30,,,,,,,,,,,,2.7,,No
Fabrisonic,Aluminum 6061-T4,Metal,Aluminum,No,241,241,68900,68900,22,25,,,,,,,,,,,,2.7,,No
Fabrisonic,Aluminum 7050-T7651,Metal,Aluminum,No,552,552,71700,71700,5,11,,,,,,,,,,,,2.83,,No
Fabrisonic,Aluminum 7075-T6,Metal,Aluminum,No,510,572,71700,71700,7,11,,,,,,,,,,,,2.81,,No
Fabrisonic,EPT Copper 110 (1/2 Hard),Metal,Copper,No,255,317,117000,117000,8,32,,,,,,,,,,,,8.9,,No
Fabrisonic,Pure Copper (99.9),Metal,Copper,No,,,,,,,,,,,,,,,,,,8.9,,No
Fabrisonic,Pure Gold,Metal,Gold,No,120,120,77200,77200,30,30,,,,,,,,,,,,19.32,,No
Fabrisonic,Stainless Steel 304,Metal,Steel,No,505,505,193000,200000,70,70,,,,,,,,,,,,8,,No
Fabrisonic,Stainless Steel 304,Metal,Steel,No,505,505,193000,200000,70,70,,,,,,,,,,,,8,,No
Fabrisonic,Stainless Steel 309,Metal,Steel,No,620,620,200000,200000,45,45,,,,,,,,,,,,8,,No
Fabrisonic,Stainless Steel 309,Metal,Steel,No,620,620,200000,200000,45,45,,,,,,,,,,,,8,,No
Fabrisonic,Stainless Steel 316,Metal,Steel,No,515,515,193000,193000,40,40,,,,,,,,,,,,8.91,,No
Fabrisonic,Sterling Silver (30% Cold Work),Metal,Silver,No,385,385,75000,75000,5,5,,,,,,,,,,,,10.4,,No
Fabrisonic,Tantalum (Cold Worked),Metal,Refractory metal,No,900,900,186000,186000,,,,,,,,,,,,,,16.65,,No
Fabrisonic,Ti3Al2.5V (Grade 9),Metal,Titanium,No,620,620,100000,100000,15,15,,,,,,,,,,,,4.48,,No
Fabrisonic,Titanium CP,Metal,Titanium,No,725,725,105000,120000,16,16,,,,,,,,,,,,4.51,,No
Hunan Farsoon,FS3200PA,Polymer,PA,No,48.1,48.1,1646,1646,38,38,43.5,43.5,1431,1431,,,,145.8,145.8,,,0.95,,No
Hunan Farsoon,FS3250MF,Composite,PA-Mineral,No,51,51,6130,6130,5,5,76,76,4633,4633,,,,,,,,1.2,,No
Hunan Farsoon,FS3400CF,Composite,PA-Carbon,No,65,76,4700,8500,3,4.5,94,125,4500,6500,,,,,,,,1.09,,No
Hunan Farsoon,FS3400GF,Composite,PA-Glass,No,44,44,3500,7800,5,5,68,68,2415,2415,,,,171.9,171.9,,,1.26,,No
