Material Supplier,Material Name,General Material Type,Specific Material Type,Post Processed,Ultimate Tensile Strength Min (MPa),Ultimate Tensile Strength Max (MPa),Tensile Modulus Min (MPa),Tensile Modulus Max (MPa),Elongation at Break Min (%),Elongation at Break Max (%),Flexural Strength Min (MPa),Flexural Strength Max (MPa),Flexural Modulus Min (MPa),Flexural Modulus Max (MPa),Hardness Shore Scale,Hardness Min,Hardness Max,HDT Min (C),HDT Max (C),Glass Transition Temp Min (C),Glass Transition Temp Max (C),Part Density (g/cm3),Flammability,USP Class VI Certified
Stratasys,RGD720,Polymer,Acrylic,No,50,65,2000,3000,15,25,80,110,2700,3300,Shore D,83,86,45,50,48,50,1.18,,No
Stratasys,TangoBlack FLX973,Polymer,Rubber,No,1.8,2.4,,,45,55,,,,,Shore D,60,62,,,,,1.14,,No
Stratasys,TangoBlackPlus FLX980,Polymer,Rubber,No,0.8,1.5,,,170,220,,,,,Shore D,26,28,,,,,1.12,,No
Stratasys,TangoGray FLX950,Polymer,Rubber,No,3,5,,,45,55,,,,,Shore D,73,77,,,,,1.16,,No
Stratasys,TangoPlus FLX930,Polymer,Rubber,No,0.8,1.5,,,170,220,,,,,Shore D,26,28,,,,,1.12,,No
Stratasys,ULTEM 1010,Polymer,PEI,No,,,2241,2772,1.3,3.3,77,144,2234,2820,,,,216,216,215,215,,V0,Yes
Stratasys,ULTEM 9085,Polymer,PEI,No,71.6,71.6,2200,2200,6,6,115.1,115.1,2500,2500,,,,,,186,186,,V-0,No
Stratasys,VeroBlackPlus RGD875,Polymer,Acrylic,No,50,65,2000,3000,10,25,75,110,2200,3200,Shore D,83,86,45,50,52,54,1.17,,No
Stratasys,VeroBlue RGD840,Polymer,Acrylic,No,50,60,2000,3000,15,25,60,70,1900,2500,Shore D,83,86,45,50,48,50,1.18,,No
Stratasys,VeroClear RGD810,Polymer,Acrylic,No,50,65,2000,3000,15,25,75,110,2200,3200,Shore D,83,86,45,50,52,54,1.18,,No
Stratasys,VeroCyan RGD841,Polymer,Acrylic,No,50,65,2000,3000,10,25,75,110,2200,3200,Shore D,83,86,45,50,52,54,1.17,,No
Stratasys,VeroDent MED670,Polymer,,No,50,60,2000,3000,10,25,75,110,2200,3200,Shore D,83,86,45,50,52,54,1.17,,No
Stratasys,VeroDentPlus MED690,Polymer,,No,54,65,2200,3200,15,25,80,110,2400,3300,Shore D,52,54,45,50,52,54,1.17,,No
Stratasys,VeroGlaze MED620,Polymer,,No,,,,,,,,,,,,,,,,,,,,No
Stratasys,VeroGray RGD850,Polymer,Acrylic,No,50,65,2000,3000,10,25,75,110,2200,3200,Shore D,83,86,45,50,52,54,1.17,,No
Stratasys,VeroWhitePlus RGD835,Polymer,Acrylic,No,50,65,2000,3000,10,25,75,110,2200,3200,Shore D,83,86,45,50,52,54,1.17,,No
Stratasys,VeroYellow RGD841,Polymer,Acrylic,No,50,65,2000,3000,10,25,75,110,2200,3200,Shore D,83,86,45,50,52,54,1.17,,No
Stratasys,YellowMagenta RGD851,Polymer,Acrylic,No,50,65,2000,3000,10,25,75,110,2200,3200,Shore D,83,86,45,50,52,54,1.17,,No
voxeljet,PMMA - Polypor B,Polymer,PMMA,No,4.3,4.3,,,,,,,,,,,,,,,,,,No
voxeljet,PMMA - Polypor C,Polymer,PMMA,No,3.7,3.7,,,,,,,,,,,,,,,,,,No
voxeljet,Silica Sand - Inorganic binder,Sand,Silicate,No,,,,,,,2.2,2.8,,,,,,,,,,,,No
